"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
98042,37.86026,-122.28936,"Ecology Center","Berkeley","17081997|12083693"
313727,37.871136,-122.26877,"Aurora Theatre Company","Berkeley","5960884"
331227,37.892685,-122.26337,"Cragmont Rock Park","Berkeley","6077117|6527958"
368568,37.869999,-122.269997,"Brook rd","Berkeley","6331144"
441275,37.869999,-122.260002,"UC Berkeley Sproul","Berkeley","6820086"
462858,37.877964,-122.27268,"UU Fellowship Hall","Berkeley","13393208"
471794,37.86865,-122.30027,"Spengers Banquet Ballroom","Berkeley","7063567"
539812,37.851036,-122.293526,"Berkeley Ironworks Climbing Gym","Berkeley","8218463|10015063|10309843|10459879|10646241|10808612|11277700|11640144|11715018|12010687|12254792|12481430|12727182|12871654|pcxjnyngbkc|pcxjnynhbxb|13709575|13878869|14146585|14283003|14283055|14714077|14842376|15168516|15105783|15256638|15375181|15256645|15636399|15901949|16055246|10314909"
544926,37.86638,-122.270134,"Persian Center","Berkeley","7540752"
660558,37.864876,-122.26741,"Herbivore","Berkeley","12789610|15484881"
660560,37.867432,-122.258835,"Blakes on Telegraph","Berkeley","12708185"
660561,37.870121,-122.317276,"Cesar Chavez Park @ Berkeley Marina","Berkeley","16358174"
660572,37.86615,-122.26758,"La Note","Berkeley","7313906"
660574,37.853073,-122.266235,"La Pena Cultural Center","Berkeley","12515770|23413361"
660576,37.880592,-122.300011,"Pyramid Alehouse, Brewery & Restaurant","Berkeley","8931312"
698666,37.868328,-122.269324,"Shattuck Cinemas","Berkeley","7342189"
726478,37.875921,-122.269041,"Cafe Gratitude","Berkeley","57930382|10046933|58032272|77317422"
728253,37.869658,-122.252137,"The International House of UC Berkeley","Berkeley","15231162|15638448|17287731"
735440,37.8733,-122.25945,"Memorial Glade","Berkeley","58615562"
737303,37.852985,-122.265915,"The Starry Plough","Berkeley","11729606|12515780|9966024"
742284,37.870738,-122.26958,"Freight & Salvage","Berkeley","92821952|92874232"
775790,37.866359,-122.267327,"Thalassa","Berkeley","33249202|42591972"
797291,37.880138,-122.295466,"Ashkenaz","Berkeley","12515808|94513582|96526822|81394442"
828425,37.873444,-122.268715,"Triple Rock Brewery & Alehouse ","Berkeley","9546294"
830318,37.880138,-122.295466,"Ashkenaz Music & Dance Community Center","Berkeley","54897252"
838246,37.868823,-122.302699,"Truitt & White Conference Room","Berkeley","14520141"
838998,37.847095,-122.27067,"Angel Light Books and Gifts","Berkeley","9399530|10412605|10640974|14776166|30666851|40620512|49794322|68409412"
867779,37.879536,-122.301413,"Jimmy Beans","Berkeley","12471649"
881078,37.856237,-122.260985,"Infertility/Fertility Support Groups","Berkeley","10017798"
884768,37.850764,-122.270611,"Black Repertory Theater","Berkeley","91110892"
887101,37.863281,-122.295822,"Rudramandir - Center for Spirituality & Healing","Berkeley","37178242|13775366|53980482"
888623,37.891191,-122.282621,"King Tsin","Berkeley","93290022"
917132,37.868371,-122.254415,"caffe strada","Berkeley","93649402|95258332|qqzscfyrdbdb|qqzscfyrfbdb"
917696,37.87153,-122.260177,"UC Berkeley - West Campus","Berkeley","17288085|58563352"
930714,37.873333,-122.25991,"UC Berkeley Campus","Berkeley","12020780"
935656,37.871228,-122.269752,"Berkeley Rep's Roda Theatre","Berkeley","50690432|49957092|50358992|72671082"
936157,37.883263,-122.308098,"Golden Gate Fields","Berkeley","49431262|105876832|11197490|15189110|hnfvpynpbsb|60242602|102704802"
949895,37.857825,-122.24307,"Claremont Resort & Spa","Berkeley","10335743"
970218,37.877731,-122.243671,"UC Botanical Garden","Berkeley","74347832|82498262|76223072|76223082"
982694,37.883838,-122.269754,"Live Oak Park","Berkeley","10630640|21718181"
1003083,37.872444,-122.268412,"Turkish Kitchen","Berkeley","16255278"
1010293,37.871669,-122.301231,"4th Street Studio","Berkeley","6551748"
1040174,37.891856,-122.272356,"Indian Rock Park","Berkeley","11136773"
1060605,37.858845,-122.292046,"Berkeley Fine Art Studio","Berkeley","11335354|11339736"
1075617,37.868376,-122.291859,"Local 123","Berkeley","80524682"
1077231,37.867381,-122.262758,"Berkeley City Club","Berkeley","15148475"
1095487,37.874934,-122.268785,"Corso","Berkeley","11642708"
1097882,37.854588,-122.270884,"Ashby Stage","Berkeley","12861351|13932867"
1138366,37.890665,-122.276118,"Northbrae Community Church","Berkeley","16974778"
1172609,37.869426,-122.267057,"The Marsh Berkeley","Berkeley","63891662|90934812|90935792"
1173524,37.876691,-122.3034,"Trumer Brauerei","Berkeley","49337692"
1176338,37.8643,-122.253596,"UC Berkeley","Berkeley","71702812"
1179441,37.869094,-122.260692,"Zellerbach Hall","Berkeley","58812452|58812472"
1187587,37.869551,-122.266638,"The David Brower Center","Berkeley","16853944|16854241"
1200553,37.857539,-122.241888,"Paragon Bar & Cafe","Berkeley","47620812"
1205876,37.866436,-122.305546,"Sea Breeze Market","Berkeley","85433932"
1212891,37.869229,-122.314712,"Wyvern's Spur","Berkeley","12830997"
1236021,37.867096,-122.261374,"First Congregational Church of Berkeley","Berkeley","11424573"
1283896,37.86635,-122.267163,"THALASSA BAR & BILLIARDS","Berkeley","41945892|66656912|90480462"
1338405,37.866123,-122.300087,"Takara Sake Museum and Sake Tasting Room ","Berkeley","52899512"
1338427,37.856508,-122.260185,"Inca Service","Berkeley","14298961"
1355761,37.880135,-122.295338,"Ashkenaz Music and Dance Community Center","Berkeley","87434312"
1357749,37.86982,-122.265991,"Saturn Cafe","Berkeley","17311214|48195612"
1357777,37.870194,-122.292314,"Casa de Cultura","Berkeley","16878614|17030627|17096916|51633452|77319862"
