"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
113720,32.658451,-117.038933,"Bonita Knit & Sew","Bonita","5482807|9725551"
119393,32.669998,-117.010002,"Club Caribe Restaurant","Bonita","37345682"
157291,32.682156,-116.99991,"Sweetwater Reservoir","Bonita","6409173|56284902"
171102,32.657833,-117.030029,"My Home","Bonita","9936762|11586151"
306463,32.66059,-117.03411,"Romesco Baja Med Bistro","Bonita","6650798"
660598,32.667156,-117.02867,"Rohr Park","Bonita","10580640|11375150|lctjpynnbgb|dmzjccypnbpb|11822623|12203879|13137698|14763168|gwgpqypfbhb|gwgpqypfbqb|gwgpqypfbzb|gwgpqypfbjc|gwgpqypgbdb|gwgpqypgbmb|gwgpqypgbfc|gwgpqypgbnc|gwgpqyphbkb|gwgpqyphbsb|gwgpqyphbcc|gwgpqyphblc|gwgpqypjbgb|gwgpqypjbpb|gwgpqypjbxb|gwgpqypjbhc|gwgpqypkbdb|gwgpqypkbmb|gwgpqypkbvb|gwgpqypkbnc|gwgpqyplbjb|gwgpqyplbrb|68599352"
682137,32.669357,-117.022319,"Starbuck's","Bonita","17054489"
748867,32.669357,-117.022319,"My Kids Clubhouse- Bonita Location!","Bonita","16792999"
797425,32.666288,-117.031958,"Fred R Rohr Park","Bonita","33015192|84985482|jmgqnynhbwb|jmgqnynhbgc|jmgqnynjbkb|jmgqnynjbsb|jmgqnynjbcc|mbvvnynjblc|mbvvnynkbhb|mbvvnynkbqb|qxgkwcyqhbcc|qxgkwcyqjbgb|qxgkwcyqjbpb|qxgkwcyqjbxb|qxgkwcyqjbhc|qxgkwcyqkbdb|qxgkwcyqkbnc|qxgkwcyqlbjb|qxgkwcyqlbbc|ddmrjdyqmbwb|ddmrjdyqnbcb|dgbbsdyqpbjb|dgbbsdyqpbrb|pqkcxyplbjb|42170842"
814126,32.661189,-117.031674,"Bonita Public Library - Sunnyside Branch","Bonita","15821966|15821908"
985247,32.681446,-117.002235,"Sweetwater Trail - Summit Campground","Bonita","rdhcqypqbfb"
1238037,32.661225,-116.999634,"Brian's House","Bonita","13295817|49374202|88590622|92136152"
1319194,32.680175,-117.015703,"Bonita Golf Club","Bonita","96220582"
1380640,32.675061,-117.016498,"Bonita Farm Pumpkin Station","Bonita","84589992"
1412305,32.664145,-117.04279,"San Diego Scuba Center","Bonita","15227536|15225590|15234790|15326150|15261858|15262019|15326240|15287242|15420963|15263731|15773526|15773626|16998278|23717121|26342371|34296002|34305602|38810752|49367292|70219702|84373362"
