"event_id","event_name","event_created","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"39749182","Mind Mapping Plus!",1320286474000,1322863200000,37.241459,-121.958382,"Meredith Born's office","Los Gatos"
"qswdwcyrcbpc","Thursday Weekly Meditation Meetup",1336633420000,1359687600000,37.311893,-121.89157,"San Jose Center for Spiritual Living","San Jose"
"qswdwcyrdblc","Thursday Weekly Meditation Meetup",1336633420000,1362106800000,37.311893,-121.89157,"San Jose Center for Spiritual Living","San Jose"
"85444922","SV Android Developers cohosting with ARM® TechCon™",1349329854000,1351643400000,37.402756,-121.978905,"Santa Clara Convention Center","Santa Clara"
"41280372","BigDataCamp Silicon Valley @Strata 2012",1321386695000,1330392600000,37.402756,-121.978905,"Santa Clara Convention Center","Santa Clara"
"81596322","Rancho San Antonio (Los Altos)",1347214572000,1.350234e+12,37.33292,-122.075836,"Rancho San Antonio Open Space Preserve","Los Altos Hills"
"99314902","Clothed Figure Drawing",1358043245000,1361656800000,37.310001,-122.040001,"PEET'S COFFEE & TEA","Cupertino"
"17064537","HTML5 and Browsers: Community Night",1301154467000,1303862400000,37.41317,-122.071236,"Microsoft Campus, Bldg 1","Mountain View"
"14399920","Hackers and Founders Presents - @ Microsoft Mountain View, Building One",1281607858000,1284602400000,37.41317,-122.071236,"Microsoft Campus, Bldg 1","Mountain View"
"56212742","HTML5 Community Night",1331671135000,1334102400000,37.41317,-122.071236,"Microsoft Campus, Bldg 1","Mountain View"
"57082702","HTML5 Community Night",1332231508000,1334102400000,37.41317,-122.071236,"Microsoft Campus, Bldg 1","Mountain View"
"dnrtncyrcbpc","Healings of Light (Reiki/Karuna Reiki)",1329163033000,1359682200000,37.383213,-122.031225,"Manisha's Home","Sunnyvale"
"14371278","Douglas Crockford: Loopage ",1281393318000,1282955400000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
"15239717","YUIConf 2010 Keynote: ""Project Future""",1288133426000,1289442600000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
"16590308","Y! Front end summit '11: Douglas Crockford & Steve Souders",1297886149000,1301448600000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
"15239592","YUIConf 2010 Panel Discussion: ""The Future of Web Development""",1288132807000,1289269800000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
"13740808","Bayjax on Accessibility ",1276033480000,1276648200000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
"16564259","""Open Mic"" night Bayjax",1297719884000,1301362200000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
"49202142","Monte Bello Friday After Work",1327287349000,1336179600000,37.328106,-122.172203,"Monte Bello OSP","Los Altos"
"10670086","Lunch at Aqui",1245212459000,1245782700000,37.287052,-121.94652,"Aqui Cal-Mex Grill","Campbell"
"14380025","Last minute: Gym lunch hour climbing",1281462427000,1281639600000,37.38393,-122.01145,"Planet Granite, Sunnyvale","Sunnyvale"
"wwhrqypkbbc","Wednesday Climbs at PG Sunnyvale",1300312306000,1311211800000,37.38393,-122.01145,"Planet Granite, Sunnyvale","Sunnyvale"
"78136852","Sound Energy Healing Through Vocal Mimicry and Vocal Percussion",1345197995000,1.34586e+12,37.378002,-122.03997,"Washington Park","Sunnyvale"
"btgpqyphbnb","Ortega Park lunchtime game",1299026706000,1305055800000,37.342735,-122.024643,"Ortega Park","Sunnyvale"
"qzplqcyqhbfb","Ortega Park lunchtime game",1335578757000,1336071600000,37.342735,-122.024643,"Ortega Park","Sunnyvale"
"10863180","CEO Space Meeting - Back From the Forum!  August 4",1247466898000,1.249434e+12,37.33397,-122.014336,"Hilton Garden Inn","Cupertino"
"10674068","CEO Space Expo!  Very interactive meeting, OPEN MIC night! Come one - come all !",1245266142000,1247014800000,37.33397,-122.014336,"Hilton Garden Inn","Cupertino"
"10603072","CEO Space Business Foundations. (Expo and Open Mic Night postponed to July 7)",1244473303000,1245805200000,37.33397,-122.014336,"Hilton Garden Inn","Cupertino"
"75200662","Important Tax Aspects for Real Estate Investors, A MUST Know & Do for Years-end",1343426065000,1352430900000,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"17544924","Investment Opportunities Exposé: Find Your Local or Out-of-state Investment",1304537719000,1311901200000,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"29398231","Techniques for Optimizing & Accelerating Your Investments",1313287676000,1327028400000,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"72931092","Techniques for Optimizing & Accelerating Your Investments",1342035118000,1350008100000,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"39885432","Asset Protection For Real Estate Investors",1320366689000,1328842800000,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"37923862","Taxes and the Real Estate Investor",1319006483000,1336701600000,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"104210142","Learn From Your Peers - Investors Are Sharing What Works and What Doesn't",1360641943000,1.365732e+12,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"75199502","Understanding Your Credit Score",1343425374000,1347588900000,37.40182,-122.098206,"Mountain View Community Center","Mountain View"
"dlsdhdyqmbmb","Weekly Weekend Ride... ""Russianbelloline"" ride (C-B pace Int-Easy)",1345466999000,1347204600000,37.314986,-122.187267,"Russian Ridge OSP","La Honda"
"pmklqyqqbpb","Mt View Conversation - ALL LEVELS",1297229560000,1.355283e+12,37.385,-122.084404,"Peets Coffee","Mountain View"
"pmklqyrcbmc","Mt View Conversation - ALL LEVELS",1297229560000,1359516600000,37.385,-122.084404,"Peets Coffee","Mountain View"
"cwcjnynnbqb","Mt View Conversation - ALL LEVELS",1270009201000,1.286937e+12,37.385,-122.084404,"Peets Coffee","Mountain View"
"cwcjnynlbwb","Mt View Conversation - ALL LEVELS",1279652760000,1282098600000,37.385,-122.084404,"Peets Coffee","Mountain View"
"pmklqyplbdb","Mt View Conversation - ALL LEVELS",1297229560000,1312338600000,37.385,-122.084404,"Peets Coffee","Mountain View"
"dxxxnypfbgc","Rancho San Antonio AM Run",1278193316000,1300975200000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnyplbxb","Rancho San Antonio AM Run",1278193316000,1.313676e+12,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnypgbcc","Rancho San Antonio AM Run",1278193316000,1303394400000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnypgbkb","Rancho San Antonio AM Run",1278193316000,1302184800000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"qbfcmdyrcbwb","Rancho San Antonio AM Run",1348160413000,1358434800000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnypgbsb","Rancho San Antonio AM Run",1278193316000,1302789600000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnynnblc","Rancho San Antonio AM Run",1278193316000,1288274400000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnynpbgb","Rancho San Antonio AM Run",1278193316000,1288879200000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnynlbzb","Rancho San Antonio AM Run",1278193469000,1282226400000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnypfbpc","Rancho San Antonio AM Run",1278193316000,1.30158e+12,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnynnbkb","Rancho San Antonio AM Run",1278193316000,1.28646e+12,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnynnbsb","Rancho San Antonio AM Run",1278193316000,1287064800000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"dxxxnynnbcc","Rancho San Antonio AM Run",1278193316000,1287669600000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"13726145","Rancho San Antonio AM Run",1275934237000,1.277388e+12,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"bcsknynmblb","[CAMPBELL]  Free Boot Camp",1270928560000,1.283994e+12,37.287747,-121.952065,"Campbell Community Center","Campbell"
"bcsknynlbxb","[CAMPBELL]  Free Boot Camp",1281716491000,1282179600000,37.287747,-121.952065,"Campbell Community Center","Campbell"
"bcsknynmbcb","[CAMPBELL]  Free Boot Camp",1270928560000,1283389200000,37.287747,-121.952065,"Campbell Community Center","Campbell"
"bcsknynlbhc","[CAMPBELL]  Free Boot Camp",1270928560000,1282784400000,37.287747,-121.952065,"Campbell Community Center","Campbell"
"bcsknypjbtb","[CAMPBELL]  Free Boot Camp",1270928560000,1308186900000,37.287747,-121.952065,"Campbell Community Center","Campbell"
"bcsknypfbvb","[CAMPBELL]  Free Boot Camp",1270928560000,1300324500000,37.287747,-121.952065,"Campbell Community Center","Campbell"
"13657315","Weekly Dharma Talk and Meditation",1275406642000,1.27674e+12,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"22096161","Weekly Dharma Talk and Meditation",1308013442000,1308794400000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"13948016","Weekly Dharma Talk and Meditation",1277825168000,1279159200000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"17284442","Weekly Dharma Talk and Meditation",1302654854000,1.303956e+12,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"13948022","Weekly Dharma Talk and Meditation",1277825219000,1280368800000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"16745225","Weekly Dharma Talk and Meditation",1298948098000,1300327200000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"14761404","Weekly Dharma Talk and Meditation",1284430296000,1285207200000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"14402379","Weekly Dharma Talk and Meditation",1281630047000,1.282788e+12,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"14679163","Weekly Dharma Talk and Meditation",1283826116000,1283997600000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"10488682","Weekly Dharma Talk and Meditation",1243277055000,1.2465e+12,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"13657337","Weekly Dharma Talk and Meditation",1275406746000,1277949600000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"10807850","Weekly Dharma Talk and Meditation",1246831349000,1248919200000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"14294165","Weekly Dharma Talk and Meditation",1280776564000,1281578400000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"31502022","Weekly Dharma Talk and Meditation",1314678178000,1315447200000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"82011862","Friday: Bi-Weekly Dharma Talk and Meditation",1347424815000,1347674400000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"19218761","Weekly Dharma Talk and Meditation",1306006037000,1306375200000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"15908209","Weekly Dharma Talk and Meditation",1294112770000,1294887600000,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
"15320696","Weekly Dharma Talk and Meditation",1288756544000,1.290654e+12,37.315811,-122.043976,"HW 280 & N. Foothill Blvd.","Cupertino"
