"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
231589,32.839325,-97.22872,"North Richland Tennis Center","North Richland Hills","5474643"
272710,32.847813,-97.19566,"Mountasia Family Fun Center","North Richland Hills","15910268"
316360,32.847813,-97.19566,"Mountasia of North Richland Hills","North Richland Hills","87009692"
417620,32.889915,-97.203384,"Tipps Canine Hollow @ Northfield Park","North Richland Hills","53366782|100989672|7359843|8011472|8185161|8136638|8564739|8760685|8848436|9054719|9116776|9607827|10178466|11726600|12619132|10651045|58057982|100989542|54028062"
451794,32.8342,-97.20551,"Ernie's Seafood","North Richland Hills","16332822|89494392|11079624|11080148|11084224|11161777|16332573|89496532"
490725,32.84588,-97.23865,"Flap Jacks","North Richland Hills","7190305"
515914,32.90568,-97.1867,"Beef-O-Brady's","North Richland Hills","7352235|8170020"
676698,32.849117,-97.194115,"NRH2O","North Richland Hills","76384412"
676702,32.885803,-97.21138,"Green Valley Community Park","North Richland Hills","37988132"
700035,32.859332,-97.19608,"NYTEX SPORTS CENTRE","North Richland Hills","10605045|14490011|30355081|12386490|14995078|dtwcwcyqhbtb|qnlnwcyqhbdc|qnlnwcyqjbhb|qnlnwcyqjbqb|qnlnwcyqjbzb|qnlnwcyqjbjc|qnlnwcyqkbfb|qnlnwcyqkbnb|qnlnwcyqkbwb|qnlnwcyqkbgc|qnlnwcyqkbpc|qnlnwcyqlbkb|qnlnwcyqlbsb|qnlnwcyqlbcc|qnlnwcyqlblc|qnlnwcyqmbgb|qnlnwcyqmbpb|qnlnwcyqmbxb|qnlnwcyqmbhc|qnlnwcyqnbmb|qnlnwcyqnbvb|qnlnwcyqnbfc|qnlnwcyqnbnc|qnlnwcyqpbjb|qnlnwcyqpbrb|qnlnwcyqpbbc|qnlnwcyqpbkc|qnlnwcyqqbgb|qnlnwcyqqbpb|qnlnwcyqqbxb|qnlnwcyqqbhc|qnlnwcyrcbcb|qnlnwcyrcblb|qnlnwcyrcbtb|qnlnwcyrcbdc|qnlnwcyrcbmc|qnlnwcyrdbhb|qnlnwcyrdbqb|qnlnwcyrdbzb|qnlnwcyrdbjc|qnlnwcyrfbhb|qnlnwcyrfbqb|qnlnwcyrfbzb"
723703,32.835826,-97.253013,"Iron Horse Golf Course","North Richland Hills","55107142"
728677,32.838521,-97.250173,"Richland Hills Church of Christ","North Richland Hills","83319672|83319702|83320812|83315672|21723191|83313392|83319772|83321462|83319782|83320762|83315642|83321512|21722881|83320722|83320732|21723141|83318202|83320672|83321582|18734441|83318112|83318152|83319822"
746672,32.857006,-97.23825,"Tex's Star Grill","North Richland Hills","11139919"
748347,32.846542,-97.23863,"FlapJacks","North Richland Hills","11977742"
750632,32.842503,-97.202217,"Roxy's","North Richland Hills","9633727|vdnqqypfbfc|vdnqqypfbnc"
777771,32.83811,-97.2256,"North Richland Hills City Hall","North Richland Hills","11457050"
801582,32.83129,-97.216689,"Golden Corral","North Richland Hills","5389030|5456395|5616420|7695561"
831985,32.905144,-97.191833,"Woodforest Bank","North Richland Hills","14793935|14793744|14793626|14793865"
845410,32.863243,-97.196804,"Legacy church of Christ","North Richland Hills","12429052"
871315,32.854374,-97.192823,"North Richland Hills Library","North Richland Hills","9880748|8897404|9860334|15585990|36678302"
876639,32.843352,-97.200999,"Japanese Grill","North Richland Hills","9576294"
987491,32.843446,-97.200885,"We B Divin","North Richland Hills","11757238"
992356,32.850105,-97.192993,"Roots Coffeehouse","North Richland Hills","dmgzpcyqfblc|dmgzpcyqgbhc|qblcvcyqhbfc|qblcvcyqkbhc"
997628,32.830175,-97.219267,"Laser Quest","North Richland Hills","10944347|10785744|11122690"
1076527,32.861801,-97.186104,"Craig & Mary Ann's","North Richland Hills","11463027|11956058|12532452|13215420|14058625|15772434|18896061"
1089294,32.883002,-97.259452,"Roots Coffee House","North Richland Hills","11810446|fddwpypdbkb|fddwpypgbgb|chkwsypjbjb|phkwsypjbjb|27183591|13098767|dzcjqcyqfbkc|dzcjqcyqgbgc|dzcjqcyqhbmc|dzcjqcyqjbjc|djdjqcyqkbpc|djdjqcyqlblc|djdjqcyqnbnc|djdjqcyqpbkc|djdjqcyqqbhc|djdjqcyrdbjc"
1099857,32.850541,-97.192456,"McAlister's Deli","North Richland Hills","11575680|vdvxpypfbcb|vdvxpypnbgb"
1176368,32.860296,-97.232691,"Birdville Center of Technology and Advanced Learning","North Richland Hills","wbxjnyngbhb|wbxjnynjbkb|wbxjnynlbdb|kvrdpynnbgb|kvrdpynpbcb|kvrdpynqbjb|fddwpypfbkb"
1215753,32.833645,-97.205378,"Ernie's Seafood Restaurant","North Richland Hills","15339819"
1265558,32.857782,-97.238159,"Zhang's Super Buffet","North Richland Hills","13404474|13405234"
1361574,32.899408,-97.201086,"Tommy & Sue Brown Park","North Richland Hills","14592790|14952096|15021818|15382857|15469302|15298451|15589238|15520845|15521043|15521046|15520927|16608537|16715726|17065924"
1427942,32.855993,-97.219142,"Fort Worth Christian School","North Richland Hills","15431695|40682102"
1495720,32.834164,-97.20475,"Rack Daddy's","North Richland Hills","vmjkqypdbgb|vmjkqypdbpb|vmjkqypdbhc|vmjkqypfbgb|vmjkqypfbpb|vmjkqypfbxb|vmjkqypfbhc|vmjkqypgbcb|vmjkqypgblb|vmjkqypgbtb|vmjkqypgbdc|vmjkqypgbmc|vmjkqyphbjb|vmjkqyphbrb|vmjkqyphbkc|vmjkqypjbfb|vmjkqypjbnb|vmjkqypjbwb|vmjkqypjbgc|vmjkqypkbcb|vmjkqypkblb|vmjkqypkbtb|vmjkqypkbdc|vmjkqypkbmc|vmjkqyplbhb|vmjkqyplbqb|vmjkqyplbzb|vmjkqyplbjc|vmjkqypmbdb|vmjkqypmbmb|vmjkqypmbvb|vmjkqypmbfc|vmjkqypmbnc|vmjkqypnbkb|vmjkqypnbsb|vmjkqypnbcc|vmjkqypnblc|vmjkqyppbgb|vmjkqyppbpb|vmjkqyppbxb|vmjkqyppbhc|vmjkqypqbdb|vmjkqypqbmb|vmjkqypqbvb|vmjkqypqbfc|vmjkqypqbnc|vmjkqyqcbjb|vmjkqyqcbrb|vmjkqyqcbbc|vmjkqyqcbkc|vmjkqyqdbfb|vmjkqyqdbnb|vmjkqyqdbwb|vmjkqyqdbgc|vmjkqyqfbdb|vmjkqyqfbmb|vmjkqyqfbvb|vmjkqyqfbfc|vmjkqyqfbnc|vmjkqyqgbjb|vmjkqyqgbrb|vmjkqyqgbbc|vmjkqyqhbgb|vmjkqyqhbpb|vmjkqyqhbxb|vmjkqyqhbhc|vmjkqyqjbcb|vmjkqyqjblb|vmjkqyqjbtb|vmjkqyqjbdc|vmjkqyqjbmc|vmjkqyqkbjb|vmjkqyqkbrb|vmjkqyqkbbc|vmjkqyqkbkc|vmjkqyqlbfb|vmjkqyqlbnb|vmjkqyqlbwb|vmjkqyqlbgc|vmjkqyqlbpc|vmjkqyqmbkb|vmjkqyqmbsb|vmjkqyqmbcc|vmjkqyqmblc|vmjkqyqnbhb|vmjkqyqnbqb|vmjkqyqnbzb|vmjkqyqnbjc|vmjkqyqpbdb|vmjkqyqpbmb|vmjkqyqpbvb|vmjkqyqpbfc|vmjkqyqpbnc|vmjkqyqqbkb|vmjkqyqqbsb|vmjkqyqqbcc|vmjkqyqqblc|vmjkqyrcbgb|vmjkqyrcbpb|vmjkqyrcbxb|vmjkqyrcbhc|vmjkqyrdbcb|vmjkqyrdblb|vmjkqyrdbtb|vmjkqyrdbdc|vmjkqyrfbcb|38463392|38464102"
1510357,32.853691,-97.209473,"Lindsay & Tyler's Home","North Richland Hills","59844522"
1574326,32.839279,-97.252243,"Richland Hills Church of Christ","North Richland Hills","84946212"
1771981,32.853691,-97.209473,"Lindsay's House","North Richland Hills","47343182|52764482"
1803111,32.84095,-97.238884,"Don Pablos","North Richland Hills","70673592|70673972|81175362|81175392|86214182|86214442|70677852|81175872|86215442|86698772|70671602|81174642|86213792|70667542|80965862|86212642|70673332|81175412|81175902|84945032|86214422|86215152|86216452|70676482|70676542|81175442|81175862|86214412|86215462|70670162|81174622|86213822|70678022|81175932|86217562|70676132|70678602|81175462|86215172|70671832|70676262|80976762|81175352|86214192|86215182|70671772|70671812|80976662|81174682|86214202|86214222|73565242|81175452|86215192"
2480811,32.848156,-97.195297,"NRH2O Family Waterpark","North Richland Hills","61501062|76282762"
2573121,32.840401,-97.192368,"Bronco's Sports Bar & Grill","North Richland Hills","25694601"
3715312,32.840951,-97.238886,"Don Pablos' Restaurant","North Richland Hills","70157042|70157062|70157752|70157132|35210622|37158772|70157022|70156222|70157832|35984422|37158832|70155272|70156242|35210352|37159082|70157782|70157812|80976772|86215472|35210882|37159092|70155322|70156172|35210952|37159172|70155312|70157092|73567872"
4566422,32.848396,-97.238091,"Bosses Pizza","North Richland Hills","42298392"
5279172,32.859915,-97.195299,"NYTEX Sports Centre","North Richland Hills","70402142"
5340282,32.83852,-97.250175,"The Hills Church of Christ ","North Richland Hills","65065182|68850402|65068002|68850342|65068342|68318702|68850392"
