"event_id","event_name","event_venue_lat","event_venue_lon","venue_name","venue_city"
"5719819","Pre Season Game 2 vs Steelers",33.04106,-96.713394,"Austin Avenue","Plano"
"5719830","Pre Season Game 3 vs Ravens",33.04106,-96.713394,"Austin Avenue","Plano"
"5665725","Pre-season game 1 @ Titans",33.04106,-96.713394,"Austin Avenue","Plano"
"10073981","2009 Pre-Season - Game 3",33.04106,-96.713394,"Austin Avenue","Plano"
"gvfpnyrcbnc","Speak French in Plano",33.02729,-96.795525,"La Madeleine at Preston and Park","Plano"
"gvfpnyrcbvb","Speak French in Plano",33.02729,-96.795525,"La Madeleine at Preston and Park","Plano"
"gvfpnyrcbdb","Speak French in Plano",33.02729,-96.795525,"La Madeleine at Preston and Park","Plano"
"gvfpnyrdbrb","Speak French in Plano",33.02729,-96.795525,"La Madeleine at Preston and Park","Plano"
"5657977","The Plano Dungeons & Dragons May Meetup",33.038765,-96.75322,"Lone Star Comics Books & Games & Cards","Plano"
"12269709","K-9 Kerplunk",33.05529,-96.681282,"Oak Point Swimming Pool","Plano"
"5954311","Monday Night Laser Tag 7/23/07 Main Event",33.06,-96.74,"Main Event","Plano"
"87627012","Explore: Arbor Hills Nature Preserve",33.040936,-96.73721,"Arbor Hills Nature Preserve","Plano"
"fnkrqypgbjb","Dallas Area Investor's Business Daily Monthly Meetup",33.023865,-96.69358,"Plano Harrington Library","Plano"
"47602912","Dan's Super Bowl Ride",33.01119,-96.61337,"Murphy Starbucks","Plano"
"13938830","Game Night at Mick's",33.024319,-96.674507,"Mick's Place","Plano"
"14079235","Potluck Movie Night at Mick's",33.024319,-96.674507,"Mick's Place","Plano"
"14078960","Fourth Annual Unbeliever's Ball",33.024319,-96.674507,"Mick's Place","Plano"
"9710970","Feb. @ fuddruckers 2",33.029152,-96.709236,"Fuddrucker's Inc","Plano"
"wxvrnynjbcb","Articles of Freedom study/action group",33.023865,-96.69358,"Harrington Library","Plano"
"15059643","End of the Year Read-Aloud",33.023865,-96.69358,"Harrington Library","Plano"
"16561107","Step into Self Publishing",33.023865,-96.69358,"Harrington Library","Plano"
"fclwnypfbqb","Plano dog park IG meetup",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"dqzflcyqpbgc","Cavalier King Charles Spaniel monthly meet up",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"dqzflcyrdbfc","Cavalier King Charles Spaniel monthly meet up",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"5714437","Jack Carter Dog Park here we come!",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"qmxplfyrfbfc","Cavalier King Charles Spaniel monthly meet up",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"13006991","Frisco/Plano area Cavalier King Charles Spaniel Monthly Meetup ",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"fclwnypcblb","Plano dog park IG meetup",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"dqzflcyrcbjc","Cavalier King Charles Spaniel monthly meet up",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"fclwnyphbsb","Plano dog park IG meetup",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"dqzflcyqlbhc","Cavalier King Charles Spaniel August meet up",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"fclwnypjbpb","Plano dog park IG meetup",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"fclwnypgbmb","Plano dog park IG meetup",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"13116769","Iggy Paw Wow in Plano",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"fclwnypdbqb","Plano dog park IG meetup",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"fclwnynpbrb","Plano dog park IG meetup!",33.063046,-96.74696,"Jack Carter Dog Park","Plano"
"96801162","Happy Hour to Welcome Our New Understanding Women Graduates!",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"vwxgnynmbkc","Women's Business Building Luncheon-W. Plano Chapter",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"vwxgnypfblc","Women's Business Building Luncheon-W. Plano Chapter",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"vwxgnypdblc","Women's Business Building Luncheon-W. Plano Chapter",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"vwxgnynqbkc","Women's Business Building Luncheon-W. Plano Chapter",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"vwxgnynpbdc","Women's Business Building Luncheon-W. Plano Chapter",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"96800762","Queens Code Happy Hour!",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"vwxgnynlbfc","Women's Business Building Luncheon-W. Plano Chapter",33.027466,-96.79566,"Romano's Macaroni Grill","Plano"
"76684912","5 for 5 Spiritual Study",33.019468,-96.700341,"The Fillmore Pub","Plano"
"hmpxnynmbmc","Story Salon Plano ",33.032563,-96.647021,"Cafe Bohemia","Plano"
"hmpxnynnbjb","Story Salon Plano ",33.032563,-96.647021,"Cafe Bohemia","Plano"
"pzfzqyrcbmb","Bring something to share with the group....",33.032563,-96.647021,"Cafe Bohemia","Plano"
"pzfzqyqqbjc","Bring something to share with the group....",33.032563,-96.647021,"Cafe Bohemia","Plano"
"hmpxnynnbrb","Story Salon Plano ",33.032563,-96.647021,"Cafe Bohemia","Plano"
"pzfzqyrcbdb","Bring something to share with the group....",33.032563,-96.647021,"Cafe Bohemia","Plano"
"pzfzqyqqbhb","Bring something to share with the group....",33.032563,-96.647021,"Cafe Bohemia","Plano"
"pzfzqyqqbzb","Bring something to share with the group....",33.032563,-96.647021,"Cafe Bohemia","Plano"
"12825982","Did Anyone Edit the Declaration of Independence?",33.0542,-96.733185,"Schimelpfenig Library","Plano"
"9753796","Love and War in Texas - Ukulele Style!",33.009427,-96.705988,"Love and War in Texas","Plano"
"10146606","Round Table Book of the Month Discussion",33.014526,-96.709366,"Corner Bakery Cafe-Healthy Restaurant","Plano"
"qxzpqyphblc","Plano Pacers 5K",33.034428,-96.659431,"Bob Woodruff Park","Plano"
"16210079","Winter spiral walk *POSTPONED UNTIL FURTHER NOTICE*",33.034428,-96.659431,"Bob Woodruff Park","Plano"
"flgrqypmbgc","Plano Pacers 5 mile",33.034428,-96.659431,"Bob Woodruff Park","Plano"
"flgrqyqcblc","Plano Pacers ""Millet mile"" and 5k",33.034428,-96.659431,"Bob Woodruff Park","Plano"
"qxzpqypfbjc","Plano Pacers 5K or 10K",33.034428,-96.659431,"Bob Woodruff Park","Plano"
"flgrqypjbhc","Plano Pacers ""Millet mile"" and 5k",33.034428,-96.659431,"Bob Woodruff Park","Plano"
"90139342","Sketch and Chat",33.078987,-96.750197,"Davis Library","Plano"
"9622689","CO-ED Business Building Luncheon-E. Plano Chapter",33.047617,-96.699541,"Texas Land and Cattle","Plano"
"9622399","CO-ED Business Building Luncheon-E. Plano Chapter",33.047617,-96.699541,"Texas Land and Cattle","Plano"
"hlkmnyphbkc","Dinner at Aparicio's in Plano",33.024195,-96.700617,"Aparicio's Restaurante Mexicano and Tequila Bar","Plano"
"hlkmnypgbcb","Dinner at Aparicio's in Plano",33.024195,-96.700617,"Aparicio's Restaurante Mexicano and Tequila Bar","Plano"
"78122462","Bowling!",33.033793,-96.69992,"Plano Super Bowl","Plano"
"73225712","Dennis's Ride",33.011187,-96.613369,"Starbucks - Murphy","Murphy"
"47602832","Mark's Ride",33.011187,-96.613369,"Starbucks - Murphy","Murphy"
"qndhnynjbmc","The Dallas-Plano Atheists Meetup - El Norte Grill",33.041378,-96.736216,"El Norte Mexican Grill","Plano"
