"event_id","event_name","event_created","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"10478141","Pleasanton Investor's Business Daily June Meetup",1243105875000,1246125600000,37.703392,-121.918269,"Dublin Library","Dublin"
"32913152","OLD WORLD vs. NEW WORLD WINES",1315592736000,1319592600000,37.661907,-121.87515,"Wine Steward","Pleasanton"
"45805712","The Bright Side of Life ""Money Blast Off 2012""",1325135321000,1327629600000,37.696533,-121.90349,"Four Points Sheraton","Pleasanton"
"dwlwpypdbtb","Larry Berman New Jam Night",1290119526000,1297830600000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"dwlwpypfbmc","Larry Berman New Jam Night",1290119526000,1301455800000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"dwlwpypfbcb","Larry Berman New Jam Night",1290119526000,1299040200000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"dwlwpypdbdc","Larry Berman New Jam Night",1290119526000,1298435400000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"ctmfrypkbkb","Major Jam Event hosted by Larry Berman",1305074713000,1310097600000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"dwlwpypgbhb","Larry Berman New Jam Night",1290119526000,1302060600000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"dwlwpynqbkb","Larry Berman New Jam Night",1290119526000,1291782600000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"dwlwpypfbdc","Larry Berman New Jam Night",1290119526000,1.300851e+12,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"dwlwpypfblb","Larry Berman New Jam Night",1290119526000,1.299645e+12,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"ctmfrypkbsb","Major Jam Event hosted by Larry Berman",1305074713000,1310702400000,37.676594,-121.89791,"Popi Lounge","Pleasanton"
"24765621","The GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1309973493000,1310783400000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"43849112","The GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1323374626000,1327807800000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"15958439","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1294417928000,1296876600000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"11870590","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1258164730000,1259465400000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"15891556","COCKTAIL MONKEYS AT MAIN STREET",1294022237000,1295755200000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"16894479","The GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1299944433000,1301106600000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"57565122","The GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1332520570000,1333247400000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"11556043","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1254780715000,1256437800000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"10448695","PUBLIC EYE @ MAIN STREET BREWERY PLEASANTON",1242764758000,1246073400000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"15084909","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1286902051000,1287887400000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"9656269","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1233608902000,1240106400000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"10296283","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1241033472000,1243735200000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"98208702","Dance & Dine Main Street Brewery Pleasanton Steely Dan Tribute Band",1357495015000,1.358568e+12,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"10855303","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1247353625000,1248573600000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"13843063","GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1276894542000,1277605800000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"10287526","PLEASANTON STREET FAIR & MUSIC AND DRINKS AFTER AT MAIN STREET",1240947694000,1241659800000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"17544516","The GROOVE DOCTORS @ MAIN STREET BREWERY PLEASANTON",1304536098000,1.305945e+12,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"71631452","GROOVE DOCTORS @ MAIN ST. BREWERY",1341238432000,1342839600000,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"11597649","SQUARE 1 - Live Classic Rock  at Main Street Brewery in Pleasanton",1255214985000,1.258173e+12,37.664413,-121.874115,"Main Street Brewery","Pleasanton"
"11056879","Regular evening ride",1249632274000,1250225100000,37.712691,-121.871899,"Emerald Glen Park (Tennis Courts Parking)","Dublin"
"11006460","Regular evening ride",1249102154000,1251693900000,37.712691,-121.871899,"Emerald Glen Park (Tennis Courts Parking)","Dublin"
"11006455","Regular evening ride",1249102115000,1250484300000,37.712691,-121.871899,"Emerald Glen Park (Tennis Courts Parking)","Dublin"
"11006458","Regular evening ride",1249102136000,1251089100000,37.712691,-121.871899,"Emerald Glen Park (Tennis Courts Parking)","Dublin"
"11056880","Regular evening ride",1249632361000,1250829900000,37.712691,-121.871899,"Emerald Glen Park (Tennis Courts Parking)","Dublin"
