"event_id","event_name","event_created","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"qxwswcyrcbzb","MONTHLY PARK MEETUP",1337353417000,1358632800000,37.352428,-121.887062,"Watson Dog Park","San Jose"
"qxwswcyrfbvb","MONTHLY PARK MEETUP",1337353417000,1363467600000,37.352428,-121.887062,"Watson Dog Park","San Jose"
"qxwswcyrdbvb","MONTHLY PARK MEETUP",1337353417000,1.361052e+12,37.352428,-121.887062,"Watson Dog Park","San Jose"
"91388262","Serve a Hot, Nutritious Meal at Loaves & Fishes",1352918741000,1359156600000,37.356762,-121.84713,"Eastside Neighborhood Center","San Jose"
"12651511","SBAY:  Write Winged Words & Get them Published! - Nina Amir",1266622556000,1.267758e+12,37.2343,-121.87351,"Sheila's","San Jose"
"12645615","SBAY - Evening With John the Apostle Reincarnated (Alora's Special Guest)",1266557916000,1.267326e+12,37.2343,-121.87351,"Sheila's","San Jose"
"12642011","SBAY:“Freedom in Your Relationship with Food” -Ayurvedic Practices for Wellness",1266533848000,1268362800000,37.2343,-121.87351,"Sheila's","San Jose"
"16013437","Newbie Ride",1294786136000,1315760400000,37.250237,-121.85672,"Starbucks","San Jose"
"rpwdpynmbhb","Yoga in the Park",1280860640000,1283700600000,37.395725,-121.948006,"Live Oak Park","Santa Clara"
"rpwdpynnbfb","Yoga in the Park",1280860640000,1286119800000,37.395725,-121.948006,"Live Oak Park","Santa Clara"
"rpwdpynmbjc","Yoga in the Park",1280860640000,1.285515e+12,37.395725,-121.948006,"Live Oak Park","Santa Clara"
"rpwdpynlbmc","Yoga in the Park",1280860640000,1283095800000,37.395725,-121.948006,"Live Oak Park","Santa Clara"
"rpwdpynmbzb","Yoga in the Park",1280860640000,1284910200000,37.395725,-121.948006,"Live Oak Park","Santa Clara"
"rpwdpynmbqb","Yoga in the Park",1280860640000,1284305400000,37.395725,-121.948006,"Live Oak Park","Santa Clara"
"mqwdpynmbqb","Yoga in the Park",1280861173000,1284305400000,37.395725,-121.948006,"Live Oak Park","Santa Clara"
"10547477","Monday Chop 57",1243889423000,1247533200000,37.358753,-121.93909,"The Top Spin","Santa Clara"
"10547559","Monday Chop 58",1243889924000,1.248138e+12,37.358753,-121.93909,"The Top Spin","Santa Clara"
"ckkvqypjbcc","Fiesta Tuesdays Mexico Lindo Salsa & Bachata lesson then DJ dancing",1302301140000,1308711600000,37.33078,-121.912018,"Mexico Lindo Restaurant & Bar","San Jose"
"ckkvqypkbzb","Fiesta Tuesdays Mexico Lindo Salsa & Bachata lesson then DJ dancing",1302301140000,1311130800000,37.33078,-121.912018,"Mexico Lindo Restaurant & Bar","San Jose"
"ckkvqypkbqb","Fiesta Tuesdays Mexico Lindo Salsa & Bachata lesson then DJ dancing",1302301140000,1.310526e+12,37.33078,-121.912018,"Mexico Lindo Restaurant & Bar","San Jose"
"ckkvqypjblc","Fiesta Tuesdays Mexico Lindo Salsa & Bachata lesson then DJ dancing",1302301140000,1309316400000,37.33078,-121.912018,"Mexico Lindo Restaurant & Bar","San Jose"
"ckkvqypkbjc","Fiesta Tuesdays Mexico Lindo Salsa & Bachata lesson then DJ dancing",1302301140000,1311735600000,37.33078,-121.912018,"Mexico Lindo Restaurant & Bar","San Jose"
"dsxvlcyqkbqb","Rancho San Antonio AM Run",1341588388000,1342101600000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"qvxvlcyrdbkc","Rancho San Antonio AM Run",1326914438000,1361977200000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"qvxvlcyrdbrb","Rancho San Antonio AM Run",1326914438000,1360767600000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"qvxvlcyrcbmb","Rancho San Antonio AM Run",1326914438000,1357743600000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"qvxvlcyrdbbc","Rancho San Antonio AM Run",1326914438000,1361372400000,37.337032,-122.087456,"Rancho San Antonio","Cupertino"
"16545151","ISLAM 101 with Akim, a Muslim from Ghana shares his religion.",1297563371000,1298149200000,37.35,-121.88,"Center For Creative Living","San Jose"
"16826969","Open House at CCL to welcome Leland “Lee” Stanford - Body Worker",1299479587000,1.301256e+12,37.35,-121.88,"Center For Creative Living","San Jose"
"16804452","Sunday Service at CCL: “Receiving God’s Love and Joy” with Rev. Doti Boon",1299298662000,1301245200000,37.35,-121.88,"Center For Creative Living","San Jose"
"90450932","Druidic Celebration - Alban Arthuan [Winter Solstice]",1352339420000,1356145200000,37.35,-121.88,"Center For Creative Living","San Jose"
"16535502","DAY of the DRUM - Drum making workshop at CCL",1297473692000,1298743200000,37.35,-121.88,"Center For Creative Living","San Jose"
"16826746","Heal Headaches with Acupressure with Michael Berry at CCL",1299476982000,1.30005e+12,37.35,-121.88,"Center For Creative Living","San Jose"
"16804419","Sunday Service at CCL: ""SPRING FORTH + higher than ever before!"" Leland Stanford",1299298367000,1300640400000,37.35,-121.88,"Center For Creative Living","San Jose"
"76937652","Seven Gifts of Druidry - Sixth Gift:  Developing our Potential",1344469300000,1.355454e+12,37.35,-121.88,"Center For Creative Living","San Jose"
"16804374","Sunday Service at CCL: “When Irish Eyes Are Smiling” with Rev. Doti Boon",1299298015000,1300035600000,37.35,-121.88,"Center For Creative Living","San Jose"
"hqllnynmbmb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1.284084e+12,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynmbvb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1284688800000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnypcbjb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1294369200000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynpbxb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1290135600000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynpbpb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1289530800000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnypcbkc","FREE Salsa Class at JSmooth Salsa ",1271349581000,1296183600000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynqbdb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1291345200000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynnblc","FREE Salsa Class at JSmooth Salsa ",1271349581000,1288317600000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnypdbgc","FREE Salsa Class at JSmooth Salsa ",1271349581000,1298602800000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnypcbrb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1.294974e+12,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynmbdb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1283479200000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynmbnc","FREE Salsa Class at JSmooth Salsa ",1271349581000,1285898400000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynmbfc","FREE Salsa Class at JSmooth Salsa ",1271349581000,1285293600000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynqbfc","FREE Salsa Class at JSmooth Salsa ",1271349581000,1293159600000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynqbmb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1.29195e+12,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynqbvb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1292554800000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynpbgb","FREE Salsa Class at JSmooth Salsa ",1271349581000,1288922400000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"hqllnynpbhc","FREE Salsa Class at JSmooth Salsa ",1271349581000,1290740400000,37.348434,-121.89249,"The Miraido Dance Studio","San Jose"
"11662683","Potluck ...",1255982260000,1258329600000,37.31327,-121.95803,"Dinesh Hebbar's home!","San Jose"
"14157034","Summer Ball ",1279636265000,1282359600000,37.404202,-121.975418,"David's Restaurant","Santa Clara"
"gxppnynjbmb","Recurring Wednesday Vegetarian/Vegan Dinner Meet!",1274597145000,1276135200000,37.427887,-121.920303,"Banana Leaf","Milpitas"
"13211309"," 32nd Annual Ramayana Musical !  ~ San Jose ~   & Dinner",1271544028000,1276387200000,37.341393,-121.87957,"Vegetarian House","San Jose"
"13451666","~ Vegetarian House Dinner ~  San Jose",1273604170000,1276387200000,37.341393,-121.87957,"Vegetarian House","San Jose"
"jjwlnynpbkc","NIKE Animal Rescue Benefit Community Drum Circle ",1271637689000,1290913200000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"jjwlnynnbfc","Rhythm Community Drum Circle ",1271637689000,1287885600000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"12219863","SBAY: “What is Kundalini?” - Henry Wolgemuth, Ph.D. Kundalini Healer",1262639242000,1264696200000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"12878873","SBAY: Dance Elemental!",1268628765000,1271901600000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"jjwlnynlblc","Rhythm Community Drum Circle ",1280292846000,1283047200000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"12878301","Dance Elemental ~~ Ecstatic Dance",1268623223000,1271901600000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"spcbpynmbdc","Dance Elemental ~~ Ecstatic Dance ",1278976920000,1285207200000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"12219853","SBAY: “Awake Now! Find Your Own American Dream”  Mary Electra",1262639183000,1263486600000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"13037838","SBAY: “When in Doubt, Make Belief:Finding Motivation in  the Face of Uncertainty",1269968249000,1271345400000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"12219802","SBAY:“Music as Medicine: The Healing Power of Kirtan” - Alx  & Jonathan ",1262638943000,1264091400000,37.297359,-121.904762,"Divine Science Community Center Inc","San Jose"
"77367822","Bay Area Beagles October Meetup #2 San Jose",1344739321000,1351364400000,37.259327,-121.91734,"Butcher Park","San Jose"
"znjwpypgbjc","Meditation Circle",1290040697000,1303868700000,37.366066,-121.906883,"Center for Creative Living","San Jose"
"znjwpypfbdc","Meditation Circle",1290040697000,1300844700000,37.366066,-121.906883,"Center for Creative Living","San Jose"
"70199362","Historic ""The Diggins"" with Milo & Shelley (Columbia, Calif.)",1340323850000,1370102400000,37.231678,-121.775612,"Starbucks","San Jose"
"69782182","Renaissance Faire with Milo & Shelley",1340083160000,1.347813e+12,37.231678,-121.775612,"Starbucks","San Jose"
"67575892","Rock Hound Ride and Overnight",1338758930000,1349454600000,37.231678,-121.775612,"Starbucks","San Jose"
"npgrpypjbsb","Tuesday Pro Jam at JJ's Blues with the LIAR'S CLUB",1287338970000,1308110400000,37.323259,-121.958908,"JJ's Blues","San Jose"
"npgrpyrdbzb","Tuesday Pro Jam at JJ's Blues with the LIAR'S CLUB",1287338970000,1361336400000,37.323259,-121.958908,"JJ's Blues","San Jose"
"npgrpypgbzb","Tuesday Pro Jam at JJ's Blues with the LIAR'S CLUB",1287338970000,1.303272e+12,37.323259,-121.958908,"JJ's Blues","San Jose"
"npgrpypcbhc","Tuesday Pro Jam at JJ's Blues with the LIAR'S CLUB",1287338970000,1.296018e+12,37.323259,-121.958908,"JJ's Blues","San Jose"
"npgrpypmbjb","Tuesday Pro Jam at JJ's Blues with the LIAR'S CLUB",1287338970000,1.315368e+12,37.323259,-121.958908,"JJ's Blues","San Jose"
"16220006","midweek?",1268583166000,1305302400000,37.38178,-121.895329,"San Jose Municipal Golf Course","San Jose"
"104943912","Westie Playdate",1361061350000,1362337200000,37.259955,-121.917778,"Roy Butcher Dog Park","San Jose"
"16070418","Valantine's Meet up",1295212409000,1.297539e+12,37.259955,-121.917778,"Roy Butcher Dog Park","San Jose"
"89116732","Westie-Turkey Meetup",1351556431000,1353281400000,37.259955,-121.917778,"Roy Butcher Dog Park","San Jose"
"16071437","January 2011 Schnauzer Meetup",1295218046000,1296327600000,37.259955,-121.917778,"Roy Butcher Dog Park","San Jose"
"15753317","Boozing at the Brit - San Jose",1292538375000,1294797600000,37.334812,-121.893478,"Britannia Arms","San Jose"
"15705179","Curry Night!",1292084497000,1296356400000,37.26053,-121.931943,"Rangoli India Restaurant","San Jose"
"15770590","100th Event Celebration: 100 Random Acts of Kindness!",1292739399000,1294599600000,37.3321,-121.90023,"Guadalupe River Park Arena Green","San Jose"
"16240132","San Jose Improv Standup comedy club",1278990377000,1.314414e+12,37.33559,-121.888632,"San Jose Improv","San Jose"
"75469782","Girls Night!",1343615538000,1346464800000,37.319197,-121.948695,"Thea Mediterranean Cuisine","San Jose"
"hqsgnynlbxb","Capoeira Meetup",1269367767000,1.282185e+12,37.309582,-121.897835,"The Music Place","San Jose"
"hqsgnynlbhc","Capoeira Meetup",1269367767000,1282789800000,37.309582,-121.897835,"The Music Place","San Jose"
"pqsgnynlbnc","Capoeira Meetup",1269367840000,1283221800000,37.309582,-121.897835,"The Music Place","San Jose"
"pqsgnynlbfc","Capoeira Meetup",1269367840000,1.282617e+12,37.309582,-121.897835,"The Music Place","San Jose"
"15470966","MURDER MYSTERY DINNER AT DAVE AND BUSTERS",1289954897000,1293852600000,37.417603,-121.89711,"Dave and Buster's","Milpitas"
"13164696","SETIcon, August 13-15",1271119313000,1281751200000,37.398605,-121.964371,"Hyatt Regency Santa Clara","Santa Clara"
"10776523","Singles Summer Hawaiian Poolside Dance Party",1246424414000,1.247886e+12,37.369471,-121.912785,"Holiday Inn","San Jose"
"10353006","Holistic Living Expo - San Jose",1241632457000,1258912800000,37.369471,-121.912785,"Holiday Inn","San Jose"
"cqlpsypjbmc","Shut Up and Write! Silicon Valley (San Jose)",1306975876000,1309399200000,37.34029,-121.903786,"Panera Bread  - Coleman / San Jose","San Jose"
"cqlpsypjbdc","Shut Up and Write! Silicon Valley (San Jose)",1306975876000,1308794400000,37.34029,-121.903786,"Panera Bread  - Coleman / San Jose","San Jose"
"cqlpsypkbjb","Shut Up and Write! Silicon Valley (San Jose)",1306975876000,1.310004e+12,37.34029,-121.903786,"Panera Bread  - Coleman / San Jose","San Jose"
"cqlpsypkbrb","Shut Up and Write! Silicon Valley (San Jose)",1306975876000,1310608800000,37.34029,-121.903786,"Panera Bread  - Coleman / San Jose","San Jose"
"cqlpsypkbbc","Shut Up and Write! Silicon Valley (San Jose)",1306975876000,1311213600000,37.34029,-121.903786,"Panera Bread  - Coleman / San Jose","San Jose"
"mpxgnypfbpb","Bootstrappers Breakfast in Milpitas (2nd Friday of each month)",1269446139000,1299857400000,37.434232,-121.88382,"Omega Restaurant","Milpitas"
"mpxgnypcbsb","Bootstrappers Breakfast in Milpitas (2nd Friday of each month)",1269446139000,1.295019e+12,37.434232,-121.88382,"Omega Restaurant","Milpitas"
"mpxgnynqbnb","Bootstrappers Breakfast in Milpitas (2nd Friday of each month)",1269446139000,1.291995e+12,37.434232,-121.88382,"Omega Restaurant","Milpitas"
"mpxgnypdbpb","Bootstrappers Breakfast in Milpitas--Guest Isaac Garcia, CEO Central Desktop",1294775897000,1297438200000,37.434232,-121.88382,"Omega Restaurant","Milpitas"
"mpxgnynpbqb","Milpitas (2nd Friday of each month)",1269446139000,1289575800000,37.434232,-121.88382,"Omega Restaurant","Milpitas"
"56895512","05/27/2012 DÉJÀ VU SALSA & BACHATA FLING! AT CPAA ARTS - ALL AGES WELCOME",1332121660000,1.338174e+12,37.308639,-122.012122,"CPAA Arts Center","San Jose"
"50156212","Salsa Lessons Workshop & Live Salsa Music At The 5TH ANNUAL PRESIDENTIAL FLING!",1327884939000,1329710400000,37.308639,-122.012122,"CPAA Arts Center","San Jose"
"13556434","The art of making friends, and secret to popularity (8-13ys)",1274477670000,1275257700000,37.427605,-121.915222,"Sobrato Community Center","Milpitas"
"14124749","Almaden Classic",1279317223000,1285516800000,37.220399,-121.84742,"Leland High School","San Jose"
"15026482","FREE 3rd Annual Run, Turkey, Run 10K fun run & 5K walk",1286402490000,1290702600000,37.220399,-121.84742,"Leland High School","San Jose"
"91002522","Run Turkey Run ",1352689832000,1353601800000,37.220399,-121.84742,"Leland High School","San Jose"
"86168032","Almaden Valley’s Run, Turkey, Run! 5K/10K Run/Walk",1349766826000,1.3536e+12,37.220399,-121.84742,"Leland High School","San Jose"
"fpnvnynjbbc","Sunday Pickup at Leland HS",1276962957000,1277049600000,37.220399,-121.84742,"Leland High School","San Jose"
"79066412","October Birthday Ride",1345753057000,1.349541e+12,37.231678,-121.775612,"Starbucks","San Jose"
"16608556","Nikkei Matusri San Jose Japantown -",1297995357000,1304266500000,37.349988,-121.892198,"San Jose - Japantown","San Jose"
"dgvpkdyrdbwb","Sunday 9:00AM Pickup at Camden Community Center",1347257496000,1361120400000,37.263942,-121.931443,"Camden Community Center","San Jose"
"dgvpkdyqqbvb","Sunday 9:00AM Pickup at Camden Community Center",1347257496000,1355677200000,37.263942,-121.931443,"Camden Community Center","San Jose"
"dgvpkdyqqbdb","Sunday 9:00AM Pickup at Camden Community Center (formerly Athenour)",1347257496000,1354467600000,37.263942,-121.931443,"Camden Community Center","San Jose"
"dgvpkdyqqbnc","Sunday 9:00AM Pickup at Camden Community Center",1347257496000,1356886800000,37.263942,-121.931443,"Camden Community Center","San Jose"
